session_id,user_id,restaurant_id,start_time,meal_period,zone,dietary_toggle,order_completed,final_order_value,num_cart_items
S000043,U02449,R0057,2025-12-04T08:59:35.144375,breakfast,South,none,True,382,4
S000044,U04999,R0098,2025-12-23T12:01:07.183656,lunch,East,veg,True,833,9
S000045,U02267,R0045,2025-12-20T12:58:23.970983,lunch,Central,none,True,323,3
S000046,U04620,R0070,2025-12-28T13:12:41.979319,lunch,East,none,True,694,3
S000047,U00239,R0068,2025-12-23T06:22:56.921451,late_night,South,veg,True,382,3
S000048,U00503,R0061,2025-12-13T07:43:44.200419,breakfast,West,veg,True,1778,8
S000049,U03271,R0003,2025-12-20T17:55:59.412400,late_night,East,none,True,1119,5
S000050,U04700,R0039,2025-12-18T16:28:45.442762,late_night,Central,none,True,155,3
S000051,U03829,R0071,2025-12-07T20:10:15.155759,dinner,South,none,True,871,4
S000052,U01626,R0007,2025-12-24T21:15:27.073463,dinner,Central,none,True,571,4
S000053,U03414,R0035,2025-12-22T08:26:04.797090,breakfast,East,veg,True,449,4
S000054,U03488,R0038,2025-12-03T23:03:00.772464,late_night,East,none,True,1164,4
S000055,U03322,R0058,2025-12-19T16:21:38.784637,late_night,Central,veg,True,406,5
S000056,U04113,R0098,2025-12-29T05:04:31.907280,late_night,East,none,True,242,2
S000057,U04358,R0068,2026-01-05T06:35:08.871355,late_night,South,veg,True,202,2
S000058,U04836,R0097,2025-12-30T17:22:39.499355,late_night,East,none,True,374,2
S000059,U04094,R0023,2025-12-08T21:26:43.812652,dinner,West,none,True,415,4
S000060,U02193,R0024,2026-01-01T02:49:12.425123,late_night,North,none,True,443,2
S000061,U02462,R0049,2025-12-03T19:49:23.140588,dinner,North,veg,True,803,6
S000062,U01987,R0012,2025-12-28T18:15:56.146097,late_night,South,none,True,778,5
S000063,U01166,R0094,2025-12-16T14:37:19.558274,lunch,Central,none,True,1519,6
S000064,U04342,R0091,2025-12-18T15:50:31.918127,late_night,Central,none,False,0,2
S000065,U02295,R0018,2025-12-10T11:20:51.336698,lunch,East,none,True,422,3
S000066,U00352,R0100,2025-12-23T04:34:28.252537,late_night,Central,none,True,467,2
S000067,U01416,R0059,2026-01-04T21:22:33.873743,dinner,North,veg,True,644,4
S000068,U02505,R0075,2025-12-05T13:36:03.491281,lunch,South,none,True,153,1
S000069,U02013,R0088,2025-12-22T09:12:46.611676,breakfast,East,none,True,441,3
S000070,U04646,R0017,2025-12-13T07:44:25.182589,breakfast,North,none,True,1022,5
S000071,U04825,R0050,2025-12-25T19:41:38.835939,dinner,South,none,True,481,3
S000072,U00755,R0073,2025-12-28T20:31:33.517855,dinner,West,none,False,0,2
S000073,U00656,R0019,2025-12-09T07:22:44.713991,breakfast,East,veg,True,112,1
S000074,U01134,R0008,2025-12-19T20:18:14.568934,dinner,West,none,True,373,2
S000075,U01489,R0097,2025-12-14T08:50:00.529039,breakfast,East,none,True,430,3
S000076,U00607,R0029,2025-12-14T23:42:33.832068,late_night,East,none,True,823,4
S000077,U00790,R0018,2025-12-23T06:00:52.257039,late_night,East,none,True,106,1
S000078,U04160,R0046,2025-12-16T01:04:55.324154,late_night,North,veg,False,0,2
S000079,U00642,R0027,2025-12-25T13:57:55.362368,lunch,South,none,True,784,5
S000080,U03140,R0066,2025-12-28T03:09:38.878029,late_night,Central,none,True,269,1
S000081,U02285,R0001,2025-12-22T08:47:09.766680,breakfast,South,none,True,362,5
S000082,U02660,R0035,2025-12-10T13:09:10.830790,lunch,East,veg,True,495,4
S000083,U00887,R0092,2025-12-14T05:21:04.920173,late_night,North,none,True,888,7
S000084,U03177,R0069,2025-12-28T14:30:24.803009,lunch,Central,none,True,261,2
S000085,U02720,R0013,2025-12-19T12:06:35.011856,lunch,Central,none,True,349,3
S000086,U01884,R0045,2025-12-14T07:23:44.404220,breakfast,Central,none,True,293,3
S000087,U00065,R0010,2025-12-19T03:40:27.250608,late_night,West,none,True,290,2
S000088,U04403,R0061,2025-12-14T05:05:08.281890,late_night,West,none,True,391,1
S000089,U04081,R0044,2025-12-22T13:33:07.272397,lunch,Central,none,True,440,1
S000090,U03046,R0010,2025-12-27T06:49:11.454738,late_night,West,none,True,886,5
S000091,U00442,R0008,2025-12-09T12:32:11.691531,lunch,West,veg,True,383,3
S000092,U01685,R0023,2025-12-15T20:11:36.507485,dinner,West,non-veg,True,453,4
S000093,U01298,R0093,2025-12-26T01:42:01.678631,late_night,North,none,True,1082,6
S000094,U03531,R0020,2025-12-22T03:36:30.857790,late_night,East,none,True,194,2
S000095,U03898,R0028,2025-12-19T11:58:52.101781,lunch,East,none,True,840,5
S000096,U02351,R0098,2025-12-09T13:57:35.225919,lunch,East,none,False,0,4
S000097,U03804,R0071,2025-12-02T15:04:46.376149,late_night,South,none,False,0,5
S000098,U02351,R0032,2025-12-16T14:54:37.673400,lunch,Central,none,True,1300,8
S000099,U01317,R0044,2026-01-01T22:03:40.227747,dinner,Central,none,False,0,2
S000100,U03832,R0033,2025-12-24T09:39:10.374202,breakfast,North,none,True,430,2
S000101,U04358,R0040,2025-12-30T00:21:02.716623,late_night,West,none,False,0,3
S000102,U03459,R0023,2025-12-25T09:14:07.156838,breakfast,West,none,False,0,3
S000103,U01796,R0010,2026-01-05T00:38:50.058871,late_night,West,none,False,0,3
S000104,U00507,R0027,2025-12-21T21:56:24.905449,dinner,South,none,True,260,3
S000105,U01150,R0019,2025-12-13T18:15:27.114270,late_night,East,non-veg,False,0,2
S000106,U01901,R0070,2025-12-14T06:13:07.793567,late_night,East,veg,True,718,6
S000107,U02900,R0033,2025-12-02T04:34:18.135399,late_night,North,none,False,0,2
S000108,U01989,R0063,2025-12-27T08:55:36.090740,breakfast,Central,none,True,906,4
S000109,U03561,R0062,2025-12-30T08:39:23.473475,breakfast,Central,veg,True,589,3
S000110,U01935,R0004,2026-01-04T06:38:34.081472,late_night,North,none,True,644,3
S000111,U02913,R0082,2025-12-08T10:18:00.432922,breakfast,East,none,True,651,2
S000112,U02809,R0065,2025-12-18T18:49:32.891163,late_night,East,none,True,454,2
S000113,U01426,R0007,2025-12-16T11:55:39.535212,lunch,Central,veg,True,372,5
S000114,U03464,R0032,2025-12-08T03:12:53.841170,late_night,Central,none,True,389,2
S000115,U02796,R0078,2025-12-05T01:05:44.931823,late_night,North,none,True,1080,6
S000116,U03438,R0028,2025-12-15T11:51:11.376602,lunch,East,none,True,366,3
S000117,U01136,R0032,2025-12-19T07:51:43.445377,breakfast,Central,none,True,877,5
S000118,U01688,R0012,2025-12-25T02:28:23.100908,late_night,South,none,True,517,4
S000119,U01116,R0028,2025-12-22T16:14:10.630128,late_night,East,none,True,663,5
S000120,U01223,R0043,2025-12-31T06:11:57.448273,late_night,West,none,True,223,2
S000121,U02996,R0093,2025-12-27T19:13:20.563483,dinner,North,none,True,761,3
S000122,U04108,R0065,2025-12-13T22:17:25.012666,dinner,East,none,True,266,1
S000123,U04258,R0026,2025-12-29T06:58:54.444569,late_night,East,none,True,567,3
S000124,U01380,R0030,2025-12-15T05:58:29.049687,late_night,East,none,True,733,4
S000125,U00172,R0094,2026-01-03T20:53:08.464216,dinner,Central,none,True,1076,5
S000126,U04452,R0002,2025-12-06T21:07:59.289360,dinner,East,veg,True,348,3
S000127,U02190,R0020,2025-12-23T16:19:06.326097,late_night,East,veg,True,592,8
S000128,U01046,R0100,2025-12-26T01:47:13.697032,late_night,Central,none,True,635,2
S000129,U02703,R0060,2025-12-20T03:10:27.689862,late_night,West,none,True,382,6
S000130,U00170,R0085,2025-12-16T11:00:57.732373,lunch,Central,none,True,745,4
S000131,U03380,R0077,2025-12-13T21:46:58.394777,dinner,West,none,False,0,4
S000132,U00480,R0090,2025-12-09T09:18:25.116080,breakfast,West,none,True,682,7
S000133,U04082,R0083,2025-12-07T06:22:05.027181,late_night,South,none,True,739,4
S000134,U01528,R0039,2025-12-17T15:09:55.259553,late_night,Central,none,True,231,3
S000135,U02078,R0094,2025-12-23T03:39:15.003015,late_night,Central,none,True,350,1
S000136,U02815,R0029,2025-12-03T17:49:17.746364,late_night,East,none,False,0,3
S000137,U03842,R0042,2025-12-19T11:37:16.423424,lunch,North,veg,True,214,2
S000138,U04936,R0049,2026-01-02T08:16:24.720645,breakfast,North,none,True,839,4
S000139,U00569,R0013,2025-12-03T19:03:00.167326,dinner,Central,none,True,862,7
S000140,U01889,R0007,2025-12-17T17:55:08.378627,late_night,Central,veg,True,152,1
S000141,U03063,R0097,2025-12-15T13:00:51.992746,lunch,East,none,True,457,3
S000142,U03402,R0068,2025-12-16T04:29:38.713889,late_night,South,none,True,453,3
S000143,U03986,R0041,2025-12-20T09:28:24.464841,breakfast,Central,veg,False,0,2
S000144,U00960,R0010,2025-12-12T14:37:49.280035,lunch,West,none,True,147,1
S000145,U01070,R0051,2025-12-24T18:51:47.862577,late_night,South,veg,True,824,5
S000146,U01289,R0045,2025-12-21T09:19:42.791161,breakfast,Central,none,True,131,2
S000147,U02423,R0041,2026-01-04T15:20:46.390303,late_night,Central,none,True,461,3
S000148,U04927,R0066,2025-12-12T09:20:14.070040,breakfast,Central,veg,True,708,4
S000149,U01891,R0083,2025-12-04T11:27:36.888683,lunch,South,none,True,411,3
S000150,U02292,R0071,2025-12-17T06:24:27.509671,late_night,South,none,True,474,2
S000151,U04329,R0037,2025-12-08T19:35:00.926039,dinner,Central,veg,False,0,3
S000152,U03041,R0061,2025-12-11T19:48:53.350621,dinner,West,none,True,285,1
S000153,U01751,R0091,2025-12-30T12:17:18.139685,lunch,Central,none,True,251,2
S000154,U00816,R0004,2026-01-05T04:33:41.221722,late_night,North,veg,False,0,1
S000155,U04691,R0002,2025-12-03T00:22:17.319651,late_night,East,none,False,0,2
S000156,U01576,R0050,2025-12-17T07:20:37.907336,breakfast,South,veg,False,0,4
S000157,U04545,R0061,2026-01-04T15:52:35.651324,late_night,West,veg,True,469,2
S000158,U04125,R0067,2025-12-10T22:13:52.204826,dinner,South,none,True,371,2
S000159,U01108,R0049,2025-12-15T07:14:25.473877,breakfast,North,non-veg,True,362,2
S000160,U01560,R0026,2025-12-19T17:52:52.628639,late_night,East,none,True,422,4
S000161,U03880,R0053,2025-12-24T18:55:35.630948,late_night,South,none,True,336,4
S000162,U00283,R0088,2025-12-18T09:56:15.658599,breakfast,East,none,True,327,1
S000163,U01535,R0070,2025-12-17T22:24:55.396703,dinner,East,none,False,0,2
S000164,U00582,R0078,2025-12-25T18:00:10.573898,late_night,North,none,True,612,4
S000165,U01267,R0050,2025-12-31T04:34:34.075854,late_night,South,none,True,803,4
S000166,U02505,R0024,2025-12-16T23:22:39.239918,late_night,North,none,True,756,3
S000167,U00905,R0096,2025-12-15T14:50:35.346082,lunch,South,none,True,162,3
S000168,U00055,R0021,2025-12-09T16:00:43.148041,late_night,West,none,True,564,3
S000169,U01928,R0071,2025-12-02T08:02:33.697169,breakfast,South,none,True,828,3
S000170,U03596,R0021,2025-12-04T21:26:23.628118,dinner,West,none,True,431,3
S000171,U04230,R0011,2025-12-15T19:26:57.612634,dinner,East,none,False,0,4
S000172,U04003,R0052,2026-01-03T03:10:27.860786,late_night,Central,none,False,0,2
S000173,U03562,R0045,2025-12-23T14:55:47.365567,lunch,Central,none,False,0,4
S000174,U02520,R0073,2025-12-03T13:25:45.431246,lunch,West,veg,True,342,3
S000175,U04044,R0005,2025-12-20T03:59:44.015035,late_night,North,none,False,0,3
S000176,U03103,R0069,2025-12-16T22:40:38.341819,dinner,Central,none,True,661,5
S000177,U04742,R0096,2025-12-29T08:59:50.750800,breakfast,South,none,True,150,3
S000178,U00022,R0094,2026-01-01T07:35:19.944676,breakfast,Central,none,True,1268,4
S000179,U00959,R0065,2026-01-03T00:04:06.831607,late_night,East,veg,True,543,3
S000180,U02189,R0028,2025-12-22T08:20:41.323541,breakfast,East,none,False,0,2
S000181,U01964,R0055,2025-12-12T23:29:42.554260,late_night,North,none,True,743,5
S000182,U03392,R0019,2025-12-23T09:30:58.227917,breakfast,East,none,True,313,3
S000183,U01548,R0075,2025-12-25T19:48:36.200245,dinner,South,veg,False,0,4
S000184,U02731,R0005,2025-12-05T19:18:15.559672,dinner,North,none,True,377,3
S000185,U01411,R0002,2026-01-02T01:09:09.986568,late_night,East,none,True,410,4
S000186,U00634,R0016,2025-12-06T06:35:42.200132,late_night,East,non-veg,True,783,4
S000187,U04168,R0061,2026-01-05T02:14:39.466338,late_night,West,none,True,1316,6
S000188,U00044,R0090,2025-12-05T10:12:17.566911,breakfast,West,veg,True,351,2
S000189,U00362,R0001,2025-12-29T05:24:02.900443,late_night,South,veg,True,471,4
S000190,U00329,R0069,2025-12-29T22:38:17.187623,dinner,Central,none,True,439,3
S000191,U01147,R0024,2025-12-13T04:09:55.651563,late_night,North,veg,True,219,1
S000192,U01048,R0018,2025-12-12T15:42:51.165994,late_night,East,none,True,514,4
S000193,U02941,R0022,2025-12-27T03:51:11.803314,late_night,South,none,True,522,4
S000194,U01076,R0036,2025-12-20T00:13:05.213373,late_night,Central,none,True,63,1
S000195,U00349,R0070,2026-01-04T23:41:15.987518,late_night,East,none,False,0,7
S000196,U04805,R0031,2025-12-18T06:46:25.557411,late_night,East,none,True,137,3
S000197,U04718,R0092,2025-12-02T20:29:02.108574,dinner,North,none,True,377,2
S000198,U02944,R0061,2025-12-18T13:20:40.178381,lunch,West,veg,True,875,5
S000199,U00404,R0068,2026-01-03T14:42:48.936151,lunch,South,veg,True,147,1
S000200,U04680,R0087,2025-12-18T02:41:53.085888,late_night,West,veg,True,1082,6
S000201,U00249,R0034,2025-12-10T06:29:25.525593,late_night,West,none,True,97,1
S000202,U03479,R0050,2025-12-12T02:32:37.841333,late_night,South,none,False,0,2
S000203,U00581,R0077,2025-12-04T17:52:40.966108,late_night,West,none,True,779,5
S000204,U00955,R0001,2025-12-09T13:26:38.633970,lunch,South,veg,True,326,2
S000205,U00755,R0037,2025-12-07T23:01:19.361229,late_night,Central,none,True,266,2
S000206,U03852,R0087,2025-12-14T04:43:08.528178,late_night,West,none,True,185,1
S000207,U01486,R0054,2025-12-21T04:52:09.880403,late_night,South,none,False,0,5
S000208,U03816,R0077,2025-12-12T09:18:26.671178,breakfast,West,none,True,248,2
S000209,U02888,R0073,2025-12-24T22:12:18.641097,dinner,West,veg,False,0,1
S000210,U00817,R0020,2025-12-10T23:31:42.562207,late_night,East,none,False,0,4
S000211,U03991,R0025,2025-12-10T16:29:34.111757,late_night,North,none,True,722,2
S000212,U04651,R0006,2025-12-10T18:50:08.265091,late_night,West,none,True,330,3
S000213,U03213,R0054,2025-12-21T16:10:09.381468,late_night,South,none,True,414,5
S000214,U02656,R0008,2026-01-03T04:56:29.252549,late_night,West,none,True,1781,8
S000215,U03301,R0073,2025-12-04T10:03:33.079720,breakfast,West,none,True,263,2
S000216,U04349,R0076,2026-01-04T00:32:56.070662,late_night,West,none,True,910,7
S000217,U04118,R0047,2025-12-06T06:17:32.708279,late_night,Central,none,True,402,3
S000218,U03786,R0060,2026-01-03T09:41:45.224021,breakfast,West,none,True,289,3
S000219,U00318,R0026,2025-12-19T09:05:59.534593,breakfast,East,non-veg,True,505,3
S000220,U03809,R0026,2025-12-11T13:21:13.449006,lunch,East,none,False,0,2
S000221,U00993,R0051,2025-12-06T03:38:42.777476,late_night,South,none,True,1966,4
S000222,U00163,R0024,2025-12-16T08:15:19.579601,breakfast,North,none,True,593,2
S000223,U02854,R0020,2025-12-31T08:10:00.793417,breakfast,East,none,True,314,3
S000224,U01260,R0089,2025-12-21T20:35:53.326875,dinner,Central,none,True,232,2
S000225,U02502,R0044,2025-12-17T03:42:42.457986,late_night,Central,veg,False,0,2
S000226,U00128,R0032,2025-12-20T10:49:36.743312,breakfast,Central,none,True,305,1
S000227,U01633,R0023,2025-12-06T00:46:03.214404,late_night,West,none,True,205,2
S000228,U03794,R0008,2025-12-15T10:52:11.883263,breakfast,West,non-veg,True,995,4
S000229,U02863,R0013,2025-12-28T09:21:08.753084,breakfast,Central,none,True,655,3
S000230,U02256,R0015,2025-12-10T03:20:20.573163,late_night,West,none,True,958,5
S000231,U03502,R0078,2025-12-31T11:44:58.536442,lunch,North,none,True,1001,4
S000232,U02107,R0100,2026-01-02T03:16:06.981994,late_night,Central,none,True,1530,5
S000233,U02572,R0056,2025-12-31T11:57:20.392290,lunch,West,veg,True,76,1
S000234,U02456,R0062,2025-12-05T10:04:08.486244,breakfast,Central,none,True,788,3
S000235,U04398,R0062,2025-12-29T22:14:05.048934,dinner,Central,none,True,270,1
S000236,U03104,R0057,2026-01-04T12:45:03.078473,lunch,South,none,True,86,1
S000237,U03249,R0099,2025-12-27T16:14:58.689524,late_night,West,none,False,0,2
S000238,U02084,R0053,2025-12-05T22:51:20.223957,dinner,South,none,False,0,2
S000239,U00984,R0054,2025-12-10T12:14:40.313997,lunch,South,none,True,293,3
S000240,U01359,R0092,2025-12-24T04:08:24.564895,late_night,North,non-veg,True,471,5
S000241,U04138,R0040,2025-12-24T19:13:05.258624,dinner,West,none,True,563,4
S000242,U00069,R0003,2025-12-12T10:38:37.687652,breakfast,East,none,True,331,3
S000243,U00042,R0020,2026-01-04T19:54:16.738975,dinner,East,none,True,392,6
S000244,U00899,R0028,2025-12-17T00:34:31.283405,late_night,East,none,True,513,3
S000245,U03634,R0034,2025-12-16T17:39:35.740868,late_night,West,none,True,818,5
S000246,U01568,R0058,2025-12-19T13:00:33.338562,lunch,Central,none,False,0,2
S000247,U04183,R0035,2025-12-09T22:40:29.912424,dinner,East,none,True,196,2
S000248,U04007,R0100,2025-12-11T09:43:51.780257,breakfast,Central,none,True,362,2
S000249,U00800,R0010,2025-12-14T18:50:20.078396,late_night,West,none,True,560,3
S000250,U03889,R0051,2025-12-11T23:22:10.422702,late_night,South,none,True,399,2
S000251,U04159,R0023,2025-12-08T23:12:53.811425,late_night,West,none,True,322,2
S000252,U01561,R0024,2025-12-20T22:23:27.088313,dinner,North,veg,True,346,2
S000253,U01207,R0023,2025-12-17T20:45:27.937541,dinner,West,none,True,166,1
S000254,U04442,R0089,2025-12-26T20:05:10.794956,dinner,Central,none,True,870,5
S000255,U01827,R0019,2025-12-08T22:32:21.037050,dinner,East,non-veg,True,238,2
S000256,U03940,R0055,2025-12-02T09:03:18.038746,breakfast,North,none,True,308,2
S000257,U01348,R0091,2025-12-21T20:49:54.708405,dinner,Central,veg,True,243,1
S000258,U01158,R0052,2025-12-11T13:20:05.654400,lunch,Central,veg,True,65,1
S000259,U01928,R0035,2025-12-04T21:07:10.684438,dinner,East,none,True,485,3
S000260,U02700,R0006,2025-12-08T11:26:33.124491,lunch,West,none,False,0,3
S000261,U00948,R0044,2025-12-27T05:00:56.088334,late_night,Central,none,False,0,1
S000262,U02261,R0015,2025-12-14T13:31:38.574131,lunch,West,non-veg,False,0,2
S000263,U03857,R0072,2025-12-13T09:49:58.400161,breakfast,East,none,True,846,5
S000264,U03317,R0050,2025-12-07T21:41:47.641319,dinner,South,none,True,606,4
S000265,U03784,R0076,2025-12-21T10:31:14.056712,breakfast,West,none,True,730,4
S000266,U03454,R0056,2025-12-28T22:13:20.206968,dinner,West,none,True,207,3
S000267,U00644,R0002,2025-12-27T15:59:10.110574,late_night,East,none,False,0,1
S000268,U00414,R0005,2025-12-22T07:30:40.281655,breakfast,North,none,True,328,2
S000269,U00156,R0045,2025-12-05T01:07:06.221795,late_night,Central,none,True,436,5
S000270,U04903,R0012,2025-12-02T19:06:31.017669,dinner,South,none,True,640,5
S000271,U01005,R0076,2025-12-11T22:23:13.277907,dinner,West,none,True,939,6
S000272,U03123,R0021,2025-12-05T16:00:52.110227,late_night,West,none,False,0,5
S000273,U02197,R0064,2026-01-02T03:10:07.849709,late_night,North,none,False,0,2
S000274,U04984,R0028,2025-12-21T10:13:06.928798,breakfast,East,none,True,743,4
S000275,U01764,R0095,2025-12-10T13:23:50.987704,lunch,West,none,True,887,6
S000276,U01689,R0039,2025-12-17T15:07:28.438028,late_night,Central,veg,False,0,4
S000277,U04164,R0018,2025-12-24T10:17:23.864288,breakfast,East,none,True,373,4
S000278,U02337,R0002,2026-01-01T05:31:45.668086,late_night,East,veg,True,468,5
S000279,U01052,R0057,2025-12-26T14:27:46.705632,lunch,South,none,True,226,3
S000280,U04824,R0083,2025-12-27T04:58:42.946906,late_night,South,none,True,418,4
S000281,U03186,R0024,2025-12-10T01:14:53.439842,late_night,North,none,True,769,2
S000282,U00707,R0047,2025-12-12T05:00:35.999643,late_night,Central,none,True,396,2
S000283,U02848,R0077,2025-12-19T18:50:43.636103,late_night,West,none,True,260,2
S000284,U02876,R0069,2025-12-20T15:44:14.208553,late_night,Central,veg,True,512,6
S000285,U00392,R0084,2026-01-04T19:53:40.977671,dinner,East,veg,False,0,3
S000286,U00155,R0065,2025-12-25T21:05:35.300208,dinner,East,none,True,520,2
S000287,U03940,R0048,2026-01-01T04:08:16.370947,late_night,South,none,False,0,2
S000288,U04082,R0052,2025-12-23T17:39:53.197433,late_night,Central,none,False,0,2
S000289,U03776,R0058,2025-12-04T16:04:25.374837,late_night,Central,none,True,577,4
S000290,U00808,R0089,2025-12-18T03:55:47.398565,late_night,Central,non-veg,True,376,3
S000291,U01737,R0015,2025-12-24T12:19:28.274189,lunch,West,none,True,833,5
S000292,U04170,R0023,2025-12-24T07:03:21.294968,breakfast,West,none,True,202,2
S000293,U04519,R0018,2025-12-31T06:46:23.028328,late_night,East,none,False,0,2
S000294,U01578,R0071,2026-01-05T10:11:00.837655,breakfast,South,none,True,526,4
S000295,U00445,R0082,2025-12-28T14:26:35.290689,lunch,East,none,True,1376,4
S000296,U02301,R0036,2025-12-21T23:14:58.928923,late_night,Central,none,True,214,3
S000297,U02099,R0056,2025-12-16T07:41:08.350109,breakfast,West,non-veg,True,532,5
S000298,U04391,R0082,2025-12-09T00:53:56.012156,late_night,East,none,False,0,5
S000299,U02619,R0004,2025-12-07T04:27:13.087322,late_night,North,none,True,881,3
S000300,U00864,R0088,2025-12-17T23:08:53.118334,late_night,East,veg,True,404,3
S000301,U01623,R0098,2025-12-29T19:27:41.090208,dinner,East,none,True,311,3
S000302,U04438,R0010,2025-12-04T22:32:17.184809,dinner,West,none,False,0,3
S000303,U02004,R0096,2025-12-30T21:23:03.345994,dinner,South,none,True,114,3
S000304,U03006,R0053,2025-12-31T06:38:42.492528,late_night,South,none,True,330,2
S000305,U00895,R0075,2025-12-13T03:59:02.623668,late_night,South,veg,True,614,4
S000306,U02529,R0026,2025-12-05T17:22:56.013131,late_night,East,none,True,603,4
S000307,U01850,R0024,2025-12-24T01:29:39.682205,late_night,North,none,True,551,2
S000308,U03301,R0095,2025-12-13T15:27:44.719273,late_night,West,none,False,0,3
S000309,U02293,R0042,2025-12-24T03:25:43.672069,late_night,North,none,True,245,3
S000310,U03716,R0006,2025-12-10T00:10:19.746011,late_night,West,none,True,287,4
S000311,U00539,R0053,2025-12-01T21:39:30.712461,dinner,South,veg,True,282,3
S000312,U03677,R0032,2025-12-02T15:19:53.867952,late_night,Central,veg,True,209,4
S000313,U01873,R0069,2025-12-06T06:52:21.654344,late_night,Central,none,True,721,7
S000314,U00312,R0009,2025-12-12T12:40:09.857647,lunch,South,non-veg,False,0,6
S000315,U00387,R0050,2025-12-20T14:55:17.817657,lunch,South,none,True,767,4
S000316,U02961,R0025,2025-12-29T20:27:14.495382,dinner,North,veg,False,0,1
S000317,U03291,R0001,2025-12-12T10:02:40.980348,breakfast,South,none,True,217,3
S000318,U02835,R0033,2025-12-06T08:39:52.470109,breakfast,North,none,True,882,6
S000319,U04629,R0055,2025-12-30T02:25:35.212727,late_night,North,none,True,449,2
S000320,U00680,R0025,2025-12-24T13:30:05.355847,lunch,North,none,True,615,2
S000321,U03875,R0074,2025-12-02T10:24:53.500030,breakfast,Central,none,True,123,2
S000322,U01909,R0036,2026-01-05T05:23:20.986992,late_night,Central,none,True,222,3
S000323,U00312,R0069,2025-12-05T05:06:26.605749,late_night,Central,none,True,356,2
S000324,U01277,R0043,2025-12-16T09:28:18.496439,breakfast,West,none,True,155,1
