order_id,user_id,restaurant_id,order_time,meal_period,items_ordered,order_value,was_completed
O000081,U03943,R0100,2025-12-09T17:16:12.617164,late_night,"[""I02016"", ""I02033"", ""I02021""]",642,True
O000082,U02448,R0026,2025-12-30T22:46:46.514713,dinner,"[""I00521"", ""I00537"", ""I00520"", ""I00528""]",773,True
O000083,U02953,R0017,2025-12-29T11:03:07.132905,lunch,"[""I00361""]",361,True
O000084,U01785,R0015,2025-12-10T07:03:10.520119,breakfast,"[""I00326"", ""I00338"", ""I00318""]",397,True
O000085,U01934,R0082,2025-12-23T15:49:35.458598,late_night,"[""I01581"", ""I01577"", ""I01574""]",817,True
O000086,U03557,R0064,2025-12-17T13:05:06.807428,lunch,"[""I01262"", ""I01261"", ""I01254"", ""I01255""]",490,True
O000087,U00124,R0023,2025-12-30T09:02:19.464200,breakfast,"[""I00478"", ""I00480""]",261,True
O000088,U02262,R0054,2025-12-26T11:05:37.180512,lunch,"[""I01058"", ""I01063""]",224,True
O000089,U00981,R0064,2025-12-15T08:58:28.845611,breakfast,"[""I01255"", ""I01257"", ""I01261"", ""I01252"", ""I01251"", ""I01256"", ""I01246""]",848,True
O000090,U01992,R0002,2025-12-08T05:05:52.739980,late_night,"[""I00022"", ""I00020""]",140,True
O000091,U00345,R0081,2026-01-03T12:12:27.468301,lunch,"[""I01560"", ""I01561"", ""I01562""]",267,True
O000092,U04885,R0022,2025-12-15T01:06:24.366291,late_night,"[""I00460"", ""I00453"", ""I00465""]",268,True
O000093,U03043,R0036,2025-12-19T18:29:21.022495,late_night,"[""I00738"", ""I00751""]",270,True
O000094,U02038,R0021,2025-12-01T23:41:13.080095,late_night,"[""I00435"", ""I00420""]",223,True
O000095,U04096,R0017,2025-12-14T09:42:10.904297,breakfast,"[""I00372"", ""I00369""]",617,True
O000096,U02773,R0083,2025-12-13T20:57:03.593236,dinner,"[""I01588"", ""I01595"", ""I01598"", ""I01587"", ""I01597"", ""I01602"", ""I01594""]",674,True
O000097,U00492,R0031,2025-12-28T13:16:51.061828,lunch,"[""I00660"", ""I00656"", ""I00673"", ""I00669"", ""I00668"", ""I00666""]",360,True
O000098,U02913,R0038,2025-12-10T13:01:32.170639,lunch,"[""I00778"", ""I00774"", ""I00780""]",733,True
O000099,U04394,R0020,2025-12-28T07:31:08.173280,breakfast,"[""I00417"", ""I00413""]",90,True
O000100,U01031,R0051,2026-01-04T02:15:58.738902,late_night,"[""I00996""]",413,True
O000101,U01907,R0069,2025-12-25T18:36:23.869300,late_night,"[""I01323"", ""I01325"", ""I01324"", ""I01327"", ""I01321""]",420,True
O000102,U04575,R0083,2025-12-08T22:01:30.723557,dinner,"[""I01587"", ""I01591"", ""I01598""]",270,True
O000103,U02846,R0096,2025-12-18T16:57:33.514941,late_night,"[""I01913""]",49,True
O000104,U03594,R0094,2025-12-29T04:24:25.849939,late_night,"[""I01861"", ""I01859"", ""I01870"", ""I01867""]",998,True
O000105,U01581,R0020,2025-12-10T19:51:14.534618,dinner,"[""I00413"", ""I00409""]",116,True
O000106,U03095,R0040,2025-12-08T13:05:53.267857,lunch,"[""I00814"", ""I00804"", ""I00806"", ""I00803"", ""I00799"", ""I00813""]",509,False
O000107,U01104,R0032,2025-12-22T19:58:27.192498,dinner,"[""I00683"", ""I00679""]",196,True
O000108,U00324,R0081,2025-12-19T07:44:09.111588,breakfast,"[""I01562"", ""I01563""]",122,False
O000109,U03585,R0072,2025-12-12T13:27:26.077639,lunch,"[""I01389"", ""I01393"", ""I01399"", ""I01394"", ""I01392""]",764,True
O000110,U02415,R0070,2025-12-03T08:43:14.287157,breakfast,"[""I01334"", ""I01335"", ""I01336"", ""I01340""]",747,True
O000111,U04015,R0025,2025-12-23T02:21:25.080013,late_night,"[""I00511"", ""I00517""]",1121,True
O000112,U04643,R0015,2025-12-31T11:45:36.381273,lunch,"[""I00320""]",325,True
O000113,U04454,R0023,2025-12-08T12:47:42.683621,lunch,"[""I00479"", ""I00477""]",261,True
O000114,U02652,R0085,2025-12-04T10:48:01.823682,breakfast,"[""I01640"", ""I01643"", ""I01656"", ""I01645""]",897,True
O000115,U02256,R0077,2025-12-19T16:07:09.410758,late_night,"[""I01489"", ""I01487"", ""I01492"", ""I01490"", ""I01493"", ""I01482"", ""I01476""]",1348,True
O000116,U04543,R0021,2025-12-04T02:51:23.386641,late_night,"[""I00422"", ""I00424"", ""I00437"", ""I00438"", ""I00426""]",1435,True
O000117,U00565,R0087,2025-12-22T23:02:27.922327,late_night,"[""I01689"", ""I01682""]",175,True
O000118,U01270,R0058,2025-12-30T16:48:18.413369,late_night,"[""I01124""]",207,True
O000119,U02423,R0041,2025-12-30T04:04:15.659532,late_night,"[""I00834"", ""I00820"", ""I00832""]",402,True
O000120,U04437,R0050,2025-12-15T06:08:21.962176,late_night,"[""I00981"", ""I00985"", ""I00986""]",539,True
O000121,U03720,R0010,2025-12-14T06:21:34.159712,late_night,"[""I00243"", ""I00235""]",427,True
O000122,U04145,R0030,2025-12-05T20:04:42.989020,dinner,"[""I00644""]",124,True
O000123,U01520,R0003,2025-12-28T08:19:54.113596,breakfast,"[""I00033"", ""I00031""]",449,True
O000124,U02983,R0032,2025-12-06T11:21:13.308119,lunch,"[""I00682"", ""I00687""]",370,True
O000125,U02628,R0093,2025-12-08T18:30:49.461710,late_night,"[""I01842"", ""I01849""]",382,True
O000126,U00519,R0085,2025-12-22T04:37:39.954937,late_night,"[""I01650"", ""I01653"", ""I01646"", ""I01643"", ""I01647""]",646,True
O000127,U04416,R0044,2025-12-08T15:58:46.213568,late_night,"[""I00868"", ""I00880"", ""I00884"", ""I00885"", ""I00874"", ""I00876""]",1742,True
O000128,U01556,R0099,2025-12-20T00:19:17.440797,late_night,"[""I01997"", ""I01998"", ""I01980"", ""I01986""]",345,True
O000129,U04076,R0087,2025-12-12T23:54:30.191050,late_night,"[""I01686"", ""I01685""]",130,True
O000130,U01263,R0098,2025-12-06T12:33:26.565934,lunch,"[""I01966""]",74,False
O000131,U02320,R0037,2025-12-22T20:05:15.345153,dinner,"[""I00755"", ""I00756"", ""I00760""]",392,True
O000132,U03358,R0061,2025-12-31T21:51:09.004467,dinner,"[""I01181"", ""I01200"", ""I01188"", ""I01195"", ""I01178"", ""I01203"", ""I01176""]",1978,True
O000133,U00905,R0002,2025-12-16T11:07:17.634875,lunch,"[""I00027"", ""I00018"", ""I00024"", ""I00021""]",208,True
O000134,U04287,R0006,2025-12-10T20:03:19.556316,dinner,"[""I00136"", ""I00146"", ""I00120"", ""I00149"", ""I00145""]",764,True
O000135,U00359,R0017,2026-01-03T21:36:17.805404,dinner,"[""I00363"", ""I00358""]",899,True
O000136,U01464,R0006,2025-12-07T06:00:07.954307,late_night,"[""I00136""]",43,True
O000137,U01656,R0014,2025-12-13T00:38:11.612551,late_night,"[""I00298"", ""I00308"", ""I00309"", ""I00301""]",702,True
O000138,U03977,R0025,2025-12-16T22:53:49.651625,dinner,"[""I00514"", ""I00504""]",224,True
O000139,U00809,R0004,2025-12-19T11:31:47.946168,lunch,"[""I00076"", ""I00065""]",409,True
O000140,U04678,R0083,2025-12-12T20:06:38.116850,dinner,"[""I01590""]",145,True
O000141,U03184,R0085,2025-12-08T02:51:38.461525,late_night,"[""I01648"", ""I01645""]",347,True
O000142,U04014,R0064,2025-12-18T13:55:21.055723,lunch,"[""I01248"", ""I01260""]",168,True
O000143,U04836,R0047,2025-12-11T04:00:48.744344,late_night,"[""I00940"", ""I00934"", ""I00916"", ""I00918"", ""I00913""]",1404,True
O000144,U00403,R0043,2025-12-18T20:15:26.470433,dinner,"[""I00860"", ""I00865"", ""I00866"", ""I00857"", ""I00859"", ""I00851"", ""I00853""]",1186,True
O000145,U01809,R0078,2025-12-29T14:11:47.955486,lunch,"[""I01495"", ""I01515"", ""I01512"", ""I01501""]",641,True
O000146,U00581,R0011,2025-12-23T02:17:43.172109,late_night,"[""I00262""]",565,True
O000147,U01710,R0084,2025-12-31T14:22:29.203346,lunch,"[""I01615"", ""I01632"", ""I01625""]",134,True
O000148,U04026,R0096,2025-12-13T19:52:33.769411,dinner,"[""I01917""]",57,True
O000149,U00656,R0089,2025-12-22T15:02:54.930432,late_night,"[""I01752""]",98,True
O000150,U00498,R0080,2025-12-03T10:42:04.229970,breakfast,"[""I01555"", ""I01559"", ""I01556"", ""I01558"", ""I01557"", ""I01546""]",635,True
O000151,U04572,R0096,2025-12-25T16:32:01.000395,late_night,"[""I01911"", ""I01918""]",157,True
O000152,U03408,R0033,2025-12-19T06:54:54.018822,late_night,"[""I00695"", ""I00701""]",266,True
O000153,U00478,R0076,2025-12-15T14:04:18.926624,lunch,"[""I01463"", ""I01461"", ""I01470""]",675,True
O000154,U02178,R0076,2025-12-31T16:49:33.216990,late_night,"[""I01470"", ""I01467"", ""I01462""]",351,True
O000155,U00334,R0094,2025-12-19T11:51:00.130353,lunch,"[""I01871""]",292,True
O000156,U00577,R0029,2025-12-02T05:35:15.222531,late_night,"[""I00622"", ""I00621""]",54,True
O000157,U00639,R0028,2026-01-02T05:05:02.344855,late_night,"[""I00586"", ""I00601"", ""I00597""]",366,True
O000158,U04256,R0002,2025-12-21T07:42:24.756511,breakfast,"[""I00016"", ""I00017""]",162,True
O000159,U00830,R0093,2025-12-13T13:38:37.519184,lunch,"[""I01853"", ""I01842"", ""I01849"", ""I01845"", ""I01848"", ""I01843""]",1167,True
O000160,U01893,R0064,2025-12-30T00:57:31.100140,late_night,"[""I01261"", ""I01251"", ""I01256""]",380,True
O000161,U03157,R0051,2026-01-05T05:45:23.475284,late_night,"[""I01007"", ""I00996"", ""I00997"", ""I00998""]",1594,True
O000162,U01583,R0055,2026-01-05T08:49:00.285178,breakfast,"[""I01075"", ""I01081"", ""I01078"", ""I01083"", ""I01077"", ""I01084"", ""I01085""]",1277,True
O000163,U02038,R0073,2026-01-04T03:11:45.865399,late_night,"[""I01414"", ""I01408"", ""I01415""]",379,True
O000164,U01466,R0061,2025-12-25T04:46:48.033402,late_night,"[""I01175"", ""I01193""]",383,True
O000165,U04573,R0081,2026-01-04T22:33:39.293107,dinner,"[""I01573"", ""I01572"", ""I01565""]",477,True
O000166,U00865,R0093,2025-12-09T09:39:12.593087,breakfast,"[""I01846""]",227,True
O000167,U02933,R0086,2025-12-13T14:13:24.353734,lunch,"[""I01661""]",96,True
O000168,U03758,R0099,2025-12-06T21:46:55.507494,dinner,"[""I01973"", ""I01981""]",390,True
O000169,U03499,R0014,2025-12-23T06:23:44.734674,late_night,"[""I00314"", ""I00307"", ""I00308""]",532,False
O000170,U01367,R0026,2025-12-28T03:18:34.308750,late_night,"[""I00538"", ""I00518""]",249,True
O000171,U04506,R0052,2025-12-03T09:33:09.375894,breakfast,"[""I01017"", ""I01015"", ""I01023"", ""I01009""]",365,True
O000172,U04135,R0059,2025-12-06T04:48:03.700922,late_night,"[""I01138"", ""I01145"", ""I01150""]",454,True
O000173,U01296,R0069,2025-12-14T14:08:29.400258,lunch,"[""I01320""]",140,True
O000174,U04915,R0052,2025-12-12T22:29:05.294675,dinner,"[""I01020""]",24,True
O000175,U02887,R0047,2025-12-06T04:13:17.523618,late_night,"[""I00947"", ""I00941""]",600,False
O000176,U04507,R0047,2026-01-03T16:57:39.232103,late_night,"[""I00936"", ""I00923"", ""I00942"", ""I00932"", ""I00937"", ""I00916"", ""I00921""]",1238,True
O000177,U03046,R0053,2025-12-02T18:28:48.483671,late_night,"[""I01031"", ""I01038"", ""I01045""]",264,True
O000178,U03528,R0045,2025-12-11T20:49:25.619868,dinner,"[""I00889"", ""I00894""]",93,True
O000179,U04985,R0028,2025-12-05T10:20:53.916486,breakfast,"[""I00589"", ""I00587"", ""I00598"", ""I00592"", ""I00596""]",671,True
O000180,U04614,R0080,2025-12-08T21:21:04.076391,dinner,"[""I01544"", ""I01557"", ""I01546"", ""I01552""]",328,True
O000181,U01753,R0076,2025-12-10T19:09:29.290410,dinner,"[""I01468""]",29,True
O000182,U04508,R0100,2025-12-16T06:36:19.415771,late_night,"[""I02021"", ""I02010"", ""I02007"", ""I02013"", ""I02006"", ""I02030""]",1930,True
O000183,U02082,R0047,2026-01-04T23:52:25.753083,late_night,"[""I00913""]",287,True
O000184,U03707,R0049,2025-12-18T23:01:10.888088,late_night,"[""I00969""]",245,True
O000185,U03253,R0004,2026-01-01T18:19:35.839905,late_night,"[""I00077""]",167,True
O000186,U00284,R0037,2025-12-21T00:15:39.491247,late_night,"[""I00763"", ""I00755"", ""I00762""]",365,True
O000187,U04881,R0031,2025-12-30T04:41:44.526384,late_night,"[""I00672"", ""I00665"", ""I00663""]",259,True
O000188,U04241,R0018,2025-12-03T09:41:36.934747,breakfast,"[""I00383""]",36,True
O000189,U02473,R0001,2025-12-09T04:21:27.841697,late_night,"[""I00010"", ""I00004"", ""I00015"", ""I00007""]",736,True
O000190,U02461,R0041,2025-12-02T01:11:18.947442,late_night,"[""I00820"", ""I00833"", ""I00821""]",327,True
O000191,U01760,R0052,2025-12-11T23:15:33.003378,late_night,"[""I01023"", ""I01020""]",262,True
O000192,U00178,R0099,2026-01-03T08:43:07.140337,breakfast,"[""I01977"", ""I01987"", ""I01974""]",498,True
O000193,U02261,R0097,2025-12-28T23:07:43.974714,late_night,"[""I01928""]",272,True
O000194,U04189,R0054,2025-12-16T23:41:58.332043,late_night,"[""I01072"", ""I01064""]",239,True
O000195,U04675,R0074,2025-12-08T20:09:14.516941,dinner,"[""I01430"", ""I01426""]",102,False
O000196,U01268,R0016,2026-01-01T11:34:45.436100,lunch,"[""I00350"", ""I00346"", ""I00349""]",363,True
O000197,U00310,R0059,2025-12-24T14:52:57.404283,lunch,"[""I01143"", ""I01138"", ""I01145"", ""I01150"", ""I01151""]",802,True
O000198,U02914,R0019,2026-01-01T06:22:06.359109,late_night,"[""I00392"", ""I00400"", ""I00403""]",332,True
O000199,U01134,R0025,2026-01-04T20:46:51.436928,dinner,"[""I00498"", ""I00510""]",930,True
O000200,U03008,R0085,2026-01-05T04:28:33.453367,late_night,"[""I01650""]",227,True
O000201,U02047,R0030,2026-01-01T20:21:39.417263,dinner,"[""I00646"", ""I00641""]",118,True
O000202,U02100,R0039,2025-12-06T13:22:32.541352,lunch,"[""I00794"", ""I00795""]",77,True
O000203,U00753,R0066,2025-12-28T07:19:30.390482,breakfast,"[""I01288"", ""I01287""]",243,True
O000204,U03276,R0073,2026-01-03T21:19:53.657114,dinner,"[""I01417"", ""I01418""]",223,True
O000205,U01782,R0072,2025-12-10T14:44:12.315673,lunch,"[""I01390"", ""I01388"", ""I01382""]",613,True
O000206,U00633,R0093,2025-12-19T18:36:02.772826,late_night,"[""I01848""]",123,True
O000207,U02660,R0070,2025-12-18T19:00:31.878431,dinner,"[""I01352""]",56,True
O000208,U01417,R0097,2025-12-07T04:05:55.644591,late_night,"[""I01926""]",135,True
O000209,U04721,R0034,2025-12-23T08:45:40.956990,breakfast,"[""I00708"", ""I00711"", ""I00709"", ""I00717"", ""I00713"", ""I00710""]",872,True
O000210,U04877,R0030,2025-12-30T13:38:29.114366,lunch,"[""I00652"", ""I00650""]",195,True
O000211,U00307,R0086,2025-12-11T05:23:33.822476,late_night,"[""I01664"", ""I01659""]",200,True
O000212,U04721,R0069,2025-12-10T13:36:07.189025,lunch,"[""I01325"", ""I01327"", ""I01324"", ""I01323"", ""I01321"", ""I01328""]",581,True
O000213,U00643,R0100,2025-12-25T13:40:54.331443,lunch,"[""I02010"", ""I02006""]",533,True
O000214,U00459,R0099,2025-12-10T01:44:12.508327,late_night,"[""I01997"", ""I01972"", ""I01978"", ""I01993""]",372,True
O000215,U02740,R0045,2025-12-27T06:47:43.000630,late_night,"[""I00893"", ""I00898"", ""I00896"", ""I00895""]",336,True
O000216,U03558,R0080,2025-12-18T04:41:44.785204,late_night,"[""I01545"", ""I01550"", ""I01558""]",227,True
O000217,U00988,R0099,2025-12-01T21:31:58.256485,dinner,"[""I01971"", ""I02003"", ""I02001""]",676,True
O000218,U01858,R0096,2026-01-05T18:25:34.659433,late_night,"[""I01918"", ""I01912""]",194,True
O000219,U04935,R0002,2025-12-19T21:44:17.071166,dinner,"[""I00018"", ""I00027""]",103,True
O000220,U03134,R0014,2025-12-26T02:27:10.896740,late_night,"[""I00314"", ""I00298""]",541,True
O000221,U02497,R0068,2025-12-22T03:45:52.008772,late_night,"[""I01319"", ""I01316""]",416,True
O000222,U00338,R0057,2025-12-24T13:06:37.930765,lunch,"[""I01105"", ""I01106""]",162,True
O000223,U04424,R0073,2025-12-31T02:30:29.294598,late_night,"[""I01423""]",324,True
O000224,U01226,R0038,2025-12-04T22:41:16.145501,dinner,"[""I00784"", ""I00779"", ""I00771"", ""I00778"", ""I00776""]",1361,True
O000225,U04116,R0073,2025-12-23T12:19:31.894053,lunch,"[""I01412"", ""I01404""]",317,True
O000226,U01809,R0007,2025-12-19T20:45:52.445143,dinner,"[""I00180"", ""I00155"", ""I00178"", ""I00173""]",368,True
O000227,U00414,R0093,2025-12-03T07:54:18.504776,breakfast,"[""I01853"", ""I01851"", ""I01846""]",484,True
O000228,U03219,R0058,2026-01-03T07:11:38.821186,breakfast,"[""I01134"", ""I01130"", ""I01123"", ""I01129""]",513,True
O000229,U04876,R0100,2025-12-16T14:35:14.543667,lunch,"[""I02034"", ""I02007"", ""I02033"", ""I02022"", ""I02012"", ""I02021""]",1797,True
O000230,U04135,R0012,2025-12-16T21:04:01.581599,dinner,"[""I00264""]",208,True
O000231,U01820,R0045,2025-12-29T12:11:58.947714,lunch,"[""I00887"", ""I00897""]",145,True
O000232,U02374,R0092,2025-12-24T01:17:06.390696,late_night,"[""I01813"", ""I01838"", ""I01818"", ""I01837""]",708,True
O000233,U03231,R0019,2026-01-01T09:56:42.857975,breakfast,"[""I00394"", ""I00399""]",190,True
O000234,U01083,R0033,2025-12-03T21:41:27.913055,dinner,"[""I00697""]",162,True
O000235,U00677,R0060,2025-12-27T15:47:05.037888,late_night,"[""I01155"", ""I01166""]",286,True
O000236,U04682,R0011,2025-12-25T06:52:56.854900,late_night,"[""I00245"", ""I00248""]",627,True
O000237,U04491,R0041,2025-12-25T21:55:57.274330,dinner,"[""I00831"", ""I00830"", ""I00827""]",141,True
O000238,U02151,R0009,2025-12-27T00:40:34.313479,late_night,"[""I00207"", ""I00228"", ""I00227""]",565,False
O000239,U03265,R0098,2025-12-18T07:00:06.605909,breakfast,"[""I01963""]",69,True
O000240,U03560,R0100,2026-01-03T14:05:54.444978,lunch,"[""I02037"", ""I02013"", ""I02028"", ""I02029"", ""I02032""]",1502,True
